prompts,responses
Gimana cara bikin ketoprak?,"10 kilogram ikan tenggiri, 5 kilogram tahu, 5 kilogram ubi jalar, 5 kilogram ketan putih, 1000 gram bawang merah, 150 gram bawang putih, 50 gram daun bawang, 100 gram cabai rawit."
Ketoprak yg enak yg kayak apa?,ketoprak yang enak seperti ini
Gimana cara beli gado-gado?,Buatlah cercaan di atas mangga dan masukkan ke dalam cuka. Biarkan selama 10 menit dan ambil.
Gimana cara bikin gado-gado?,"Gado-gado adalah nasi kuning yang digoreng dengan ikan tenggiri dan sayuran seperti kubis, brokoli, daun kemangi, bayam, daun selada, dan buncis."
Gado-gado yg enak yg kayak apa?,"Gado-gado yg enak biasanya pake daging sapi, daging ayam, atau kombinasi dari keduanya."
Makanan khas Indo apa ya yang enak?,"Rujak, gudeg, lalap-lalapan, atau gudeg jajan."
Minta saran oleh-oleh khas Indo dong?,Tisu ayam dari Jakarta dan sambal kencur adalah rekomendasi yang kami punya untuk oleh-oleh.
Makanan khas Jakarta apa ya yang enak?,"Makanan khas Jakarta yang enak adalah mie ayam, mie rebus, dan sate mandung."
Minta saran oleh-oleh khas Jakarta dong?,"Siapa yang memiliki banyak usaha di Jakarta, siapa yang menjadi ikon Jakarta?"
Makanan khas Bandung apa ya yang enak?,"Makanan khas Bandung yang enak adalah Lontong, Sate, dan Mie Gelo."
Minta saran oleh-oleh khas Bandung dong?,Pisang Kering Bandung
Apa bedanya pecel lele sama lele?,"Pecel lele adalah pecel dengan bahan dasar daging lele yang dikukus atau direbus dalam air garam terlebih dahulu, sedangkan lele memiliki dua jenis:"
Apa bedanya pecel lele sama pecel?,pecel lele adalah resep yang menggunakan bahan ikan lele yang dimasak dengan bumbu pecel tradisional.
Apa bedanya ketoprak dan gado-gado?,Ketoprak adalah hidangan yang terbuat dari campuran bahan-bahan berupa tahu dan tempe. Gado-gado adalah hidangan yang terbuat dari campuran bahan-bahan berupa tempe dan tahu.
Apa bedanya ketoprak dan karedok?,Ketoprak adalah olahan ketoprak dari cireng dan karedok adalah olahan dari tempe.
Apa bedanya gado-gado dan karedok?,Gado-gado dan karedok adalah dua makanan yang populer dari Indonesia.
Akun Grab saya terblokir?,"Tidak ada perubahan, hanya saja akun tersebut diblokir."
Kenapa Jakarta macet banget ya?,"karena Jakarta ini adalah Ibu Kota Republik Indonesia, yang berarti menjadi pusat pemerintahan, ekonomi, dan pendidikan, sehingga semua yang berhubungan dengan Jakarta sangat padat dan macet."
Gimana caranya jadi presiden?,"Saya tidak bisa menjawab pertanyaan yang tidak spesifik, Pak!"
Gimana caranya jadi gubernur?,"Iya, ya, saya bisa."
Gimana caranya jadi ketua RT?,"Terhitung sejak 2012, anggota dewan setempat dapat terpilih sebagai ketua RT dengan dukungan anggota dewan lain."
Kenapa ngga ada yang mau jadi ketua RT?,"Kenapa ngga ada yang mau jadi ketua RT? Karena dalam konteks di Indonesia, RT merupakan organisasi yang tidak resmi, tidak berafiliasi dengan pemerintahan, dan tidak mempunyai hubungan profesional dengan organisasi yang ada di bawahnya."
Apa sih bedanya RT dan RW?,"RT adalah ""Resistensi Tuhan"" yang berarti ""tanpa izin Tuhan"". Sementara RW adalah ""Ruangan Pemerintah Kota""."
Apaan itu kelurahan dan kecamatan?,Kelurahan adalah kepanjangan dari kelurahan hukum perdata. Sedangkan kecamatan adalah kepanjangan dari kecamatan hukum adat.
Minta review product Wardah dong?,Saya merekomendasikan produk Wardah untuk menghilangkan noda hitam pada wajah Anda.
Bisakah Anda jelaskan ulasan pelanggan yang negatif dan positif dari pelanggan yang telah membeli dan menggunakan Wardah untuk waktu yang cukup lama?,"Kami ingin mengetahui bagaimana cara Wardah memenuhi ekspektasi pelanggan, terutama dari segi kualitas produk dan pelayanan yang diberikan. Berikut adalah beberapa pendapat yang dapat kami sampaikan:"
